숙소명,숙소유형,위치,평점,가격
"A Hanok With A Majestic History,heritage Courtyard",주택/아파트 전체,서울,9.6,"639,410원"
호텔 스카이파크 킹스타운 동대문점,호텔,서울,8.6,"463,903원"
[backyard Of Gyeongbokgung Palace And Gyeonghee Palace #1]/8 Minutes Walk From Gwanghwamun Station Gyeongbokgung Station,주택/아파트 전체,서울,9.9,"439,012원"
"Orakai Daehakro Hotel, BW Signature Collection",호텔,서울,9.0,"375,385원"
[2mins] New Hongdae Brand - Proven 3br 5bd,주택/아파트 전체,서울,9.9,"475,642원"
Holiday Inn Express Seoul Hongdae By Ihg,호텔,서울,8.8,"503,360원"
[rest Area In The City Center]/seouls Main Jongno Gwanghwamun + Healing Recovery|ban Stay|,주택/아파트 전체,서울,9.8,"462,118원"
Fraser Place Namdaemun Seoul,호텔,서울,8.7,"439,728원"
Welcome To Eun Jae,주택/아파트 전체,서울,9.8,"519,883원"
세종 호텔,호텔,서울,7.9,"340,588원"
"5br Family House, 7 Minutes To Myeongdong, 10 Minutes To Gwanghwamun, Namsan View, Patio Use",주택/아파트 전체,서울,9.7,"598,438원"
HOMES Red Myeongdong,호텔,서울,9.1,"400,000원"
Korea Traditional snug(Entire)House \'Punggyeong\,주택/아파트 전체,서울,9.8,"408,281원"
Orakai Insadong Suites,서비스드 아파트,서울,8.6,"496,402원"
Arumdaun Hanok Yuju (beautiful Hanok Yuju),주택/아파트 전체,서울,9.9,"508,330원"
SR Hotel Seoul Magok,호텔,서울,8.3,"247,157원"
[ev] Hongdae_new Duplex House With A Nice Rooftop,주택/아파트 전체,서울,9.6,"604,604원"
롯데시티호텔 마포,호텔,서울,8.8,"450,357원"
Spanish House #breakfastprovided #discount #seongsu-dong #european Sensibility #seoul Forest #hangang Park #10min To Cafe Street,주택/아파트 전체,서울,9.7,"462,118원"
퍼시픽 호텔,호텔,서울,8.6,"453,063원"
Ja-un-dang Bukchon,주택/아파트 전체,서울,9.6,"643,114원"
Koreana Hotel,호텔,서울,8.2,"331,224원"
Songpas Unique 3-story Accommodation Craft Sam,주택/아파트 전체,서울,9.8,"521,808원"
그랜드 힐튼 서울,호텔,서울,7.8,"339,662원"
[private House] Peaceful And Clean Hanok Gyeongaejae Near Gyeongbokgung Palace (with Air Conditioner),주택/아파트 전체,서울,9.8,"427,459원"
프레이저 플레이스 센트럴 서울,호텔,서울,8.7,"506,470원"
Lovely House # 2 / Large King Bed / Hongdae 1mins,주택/아파트 전체,서울,9.8,"245,477원"
ENA Suite Hotel Namdaemun,호텔,서울,8.9,"500,300원"
"Hongdae Main Street/Hongik University Station 1-minute walk/2rooms 3beds/wifi, netflix",주택/아파트 전체,서울,9.7,"370,128원"
Baiton Seoul Dongdaemun,호텔,서울,7.8,"353,431원"
