이름,유형,위치,평점,가격
호텔 센트럴베이 광안리,3성급,수영구 광안리해수욕장 도보 1분,9.4,"쿠폰 적용시 101,898원/1박"
호텔 아쿠아펠리스,3성급,수영구 광안리해수욕장 앞,8.9,"123,888원/1박"
광안리 호텔1,1성급,수영구 광안리 해수욕장 바로 앞,9.3,"49,367원/1박"
오션 더포인트 호텔,2성급,수영구 광안리해수욕장 도보 1분,9.2,"105,600원/1박"
수영 메종드센텀,모텔,수영구 광안동,9.6,"쿠폰 적용시 61,444원/1박"
효이스테이 더 광안,레지던스,수영구 광안리해변로명화의거리 도보 1분,8.9,"100,266원/1박"
부산 광안리 애프터챕터,비즈니스,수영구 금련산역 차량 3분,9.5,"쿠폰 적용시 167,797원/1박"
H-에비뉴 광안리해변점,2성급,수영구 광안리해변 1분,9.5,"143,444원/1박"
광안리 호텔 오션뷰,모텔,광안리해수욕장 도보 3분,9.4,"쿠폰 적용시 97,666원/1박"
광안리 씨유,모텔,금련산역 도보 6분,8.8,"쿠폰 적용시 62,444원/1박"
광안리 료칸 바다다,관광,수영구 광안리해수욕장 도보 9분,9.6,"90,555원/1박"
광안리 호텔 마레,모텔,금련산역 도보 4분,9.6,"쿠폰 적용시 74,444원/1박"
광안리 호텔 NO.25,모텔,수영구 민락동,9.6,"쿠폰 적용시 68,888원/1박"
광안리 더반스테이,모텔,광안역 도보 4분,9.8,"쿠폰 적용시 89,777원/1박"
수영 스미스호텔,모텔,수영역 도보 1분,9.1,"쿠폰 적용시 67,000원/1박"
광안리 호텔 야자,모텔,수영구 민락동,9.5,"쿠폰 적용시 68,888원/1박"
광안리 마린뷰 호텔,관광,수영구 광안리해변 앞,9.0,"183,177원/1박"
광안리 그레이 193 호텔,2성급,수영구 광안리해변 도보 1분,9.5,"98,333원/1박"
광안리 광안 Stay Hotel,모텔,수영구 민락동,9.6,"쿠폰 적용시 72,222원/1박"
호메르스 호텔,3성급,수영구 광안리해수욕장 앞,9.0,"124,222원/1박"
엘모멘토 광안,레지던스,수영구 광안리해수욕장 도보 1분,8.9,"145,666원/1박"
광안리 Hotel Yam,모텔,수영구 민락동,9.4,"68,888원/1박"
광안리 베스트 루이스 해밀턴,모텔,수영구 민락동,9.3,"90,000원/1박"
바뮤호텔,비즈니스,수영구 광안리해수욕장 도보 8분,9.8,"197,777원/1박"
광안리 투헤븐 호텔,모텔,금련산역 도보 6분,9.2,"쿠폰 적용시 72,444원/1박"
광안리 스테이히어,모텔,광안리해수욕장 도보 3분,9.6,"쿠폰 적용시 91,000원/1박"
AG405 Hotel,3성급,수영구 민락역 차량 4분,9.7,"116,666원/1박"
광안리 HOTEL Y,모텔,수영구 민락동,9.6,"73,333원/1박"
더퍼스트 효이스테이 광안,레지던스,수영구 금련산역 차량 3분,9.2,"98,777원/1박"
H Avenue 광안대교점,2성급,수영구 광안해수욕장 도보 1분,9.1,"102,888원/1박"
베스트루이스 해밀턴 호텔 광안점,2성급,수영구 광안리해수욕장 도보 1분,9.0,"90,000원/1박"
광안리 오션투헤븐 호텔,모텔,수영구 민락동,9.5,"127,777원/1박"
광안리 오션투헤븐 호텔,2성급,수영구 광안역 차량 6분,9.3,"113,333원/1박"
광안 Stay Hotel,2성급,수영구 민락회센터 도보 2분,9.4,"85,555원/1박"
광안리 오션스테이 호텔,비즈니스,수영구 수영역 차량 7분,9.6,"101,444원/1박"
광안리 디옴므 호텔,비즈니스,수영구 광안역 차량 5분,8.7,"82,222원/1박"
광안리 호텔 마린뷰,모텔,수영구 민락동,9.8,"131,333원/1박"
부산 게스트하우스 어반,게스트하우스,수영구 광안리해수욕장 도보 6분,9.4,"112,222원/1박"
광안리 해변라인 신축 투룸형숙소 | 다즐하우스,홈&빌라,수영구 광안리해수욕장 앞,9.9,"124,444원/1박"
"광안리 힐링오션뷰, 광안리 해변라인 오픈테라스 | 윈썸하우스",홈&빌라,수영구 광안리해수욕장 앞,9.9,"189,155원/1박"
"광안리 오션뷰 숙소, 바닷가 숙소 | 광안리 오션라이프",홈&빌라,수영구 광안리해수욕장 도보 1분,9.9,"248,640원/1박"
광안리 호텔 오션뷰,2성급,수영구 광안역 차량 7분,8.5,"100,555원/1박"
광안리 더클럽호텔,비즈니스,수영구 광안역 차량 8분,9.7,"215,666원/1박"
부산 제이아이 빌라드 독채 펜션,펜션,수영구 광안리해수욕장 도보 3분,9.8,"294,633원/1박"
"여기, 광안",게스트하우스,수영구 광안리 해수욕장 입구 도보 1분,10,"140,000원/1박"
광안리 더 클럽 호텔,모텔,수영구 민락동,9.9,"215,666원/1박"
파도소리 빼꼼뷰 해변라인 | 라온3,홈&빌라,수영구 광안리해수욕장 앞,9.8,"130,666원/1박"
광안리 대표적인 젊은 공간 | 시그니처 광안,홈&빌라,수영구 수영공원 차량 14분,9.6,"186,666원/1박"
호텔 마레,비즈니스,수영구 광안리해수욕장 도보 1분,9.5,"95,555원/1박"
광안리 제이스테이,게스트하우스,수영구 광안리 도보 1분,9.1,"688,888원/1박"
